09:35:46  INFO     🎯 30 date(s) à traiter entre 2025-01-01 et 2026-09-12.
09:35:46  INFO     🧵 90 tâche(s) (date × personnage) à traiter avec 3 worker(s) en parallèle.
09:35:46  INFO     ▶️  2025-01-01 — Tom Holland…
09:35:46  INFO     ▶️  2025-01-01 — Andrew Garfield…
09:35:46  INFO     ▶️  2025-01-01 — Tobey Maguire…
09:36:03  INFO     ✔️  2025-01-01 — Tom Holland : ❌ Pas lui. (3/7 exacts, 3/7 partiels)
09:36:03  INFO     ✔️  2025-01-01 — Tobey Maguire : ❌ Pas lui. (3/7 exacts, 2/7 partiels)
09:36:03  INFO     ✔️  2025-01-01 — Andrew Garfield : ❌ Pas lui. (3/7 exacts, 2/7 partiels)
09:36:08  INFO     ▶️  2025-01-02 — Tom Holland…
09:36:11  INFO     ▶️  2025-01-02 — Andrew Garfield…
09:36:12  INFO     ▶️  2025-01-02 — Tobey Maguire…
09:36:24  INFO     ✔️  2025-01-02 — Tom Holland : ❌ Pas lui. (3/7 exacts, 2/7 partiels)
09:36:27  INFO     ✔️  2025-01-02 — Andrew Garfield : ❌ Pas lui. (3/7 exacts, 2/7 partiels)
09:36:29  INFO     ✔️  2025-01-02 — Tobey Maguire : ❌ Pas lui. (3/7 exacts, 2/7 partiels)
09:36:33  INFO     ▶️  2025-01-03 — Tom Holland…
09:36:36  INFO     ▶️  2025-01-03 — Andrew Garfield…
09:36:37  INFO     ▶️  2025-01-03 — Tobey Maguire…
09:36:50  INFO     ✔️  2025-01-03 — Tom Holland : ❌ Pas lui. (2/7 exacts, 1/7 partiels)
09:36:53  INFO     ✔️  2025-01-03 — Andrew Garfield : ❌ Pas lui. (2/7 exacts, 1/7 partiels)
09:36:53  INFO     ✔️  2025-01-03 — Tobey Maguire : ❌ Pas lui. (2/7 exacts, 1/7 partiels)
09:36:56  INFO     ▶️  2025-01-04 — Tom Holland…
09:36:58  INFO     ▶️  2025-01-04 — Andrew Garfield…
09:37:03  INFO     ▶️  2025-01-04 — Tobey Maguire…
09:37:12  INFO     ✔️  2025-01-04 — Tom Holland : ❌ Pas lui. (2/7 exacts, 1/7 partiels)
09:37:15  INFO     ✔️  2025-01-04 — Andrew Garfield : ❌ Pas lui. (2/7 exacts, 1/7 partiels)
09:37:17  INFO     ▶️  2025-01-05 — Tom Holland…
09:37:19  INFO     ▶️  2025-01-05 — Andrew Garfield…
09:37:20  INFO     ✔️  2025-01-04 — Tobey Maguire : ❌ Pas lui. (2/7 exacts, 1/7 partiels)
09:37:26  INFO     ▶️  2025-01-05 — Tobey Maguire…
09:37:33  INFO     ✔️  2025-01-05 — Tom Holland : ❌ Pas lui. (2/7 exacts, 1/7 partiels)
09:37:36  INFO     ✔️  2025-01-05 — Andrew Garfield : ❌ Pas lui. (2/7 exacts, 1/7 partiels)
09:37:37  INFO     ▶️  2025-01-06 — Tom Holland…
09:37:40  INFO     ▶️  2025-01-06 — Andrew Garfield…
09:37:43  INFO     ✔️  2025-01-05 — Tobey Maguire : ❌ Pas lui. (2/7 exacts, 1/7 partiels)
09:37:52  INFO     ▶️  2025-01-06 — Tobey Maguire…
09:37:54  INFO     ✔️  2025-01-06 — Tom Holland : ❌ Pas lui. (1/7 exacts, 2/7 partiels)
09:37:57  INFO     ✔️  2025-01-06 — Andrew Garfield : ❌ Pas lui. (1/7 exacts, 2/7 partiels)
09:38:01  INFO     ▶️  2025-01-07 — Tom Holland…
09:38:02  INFO     ▶️  2025-01-07 — Andrew Garfield…
09:38:09  INFO     ✔️  2025-01-06 — Tobey Maguire : ❌ Pas lui. (1/7 exacts, 2/7 partiels)
09:38:16  INFO     ▶️  2025-01-07 — Tobey Maguire…
09:38:17  INFO     ✔️  2025-01-07 — Tom Holland : ❌ Pas lui. (1/7 exacts, 2/7 partiels)
09:38:18  INFO     ✔️  2025-01-07 — Andrew Garfield : ❌ Pas lui. (1/7 exacts, 2/7 partiels)
09:38:24  INFO     ▶️  2025-01-08 — Tom Holland…
09:38:24  INFO     ▶️  2025-01-08 — Andrew Garfield…
09:38:32  INFO     ✔️  2025-01-07 — Tobey Maguire : ❌ Pas lui. (1/7 exacts, 2/7 partiels)
09:38:40  INFO     ✔️  2025-01-08 — Tom Holland : ❌ Pas lui. (3/7 exacts, 2/7 partiels)
09:38:40  INFO     ▶️  2025-01-08 — Tobey Maguire…
09:38:41  INFO     ✔️  2025-01-08 — Andrew Garfield : ❌ Pas lui. (4/7 exacts, 2/7 partiels)
09:38:48  INFO     ▶️  2025-01-09 — Tom Holland…
09:38:49  INFO     ▶️  2025-01-09 — Andrew Garfield…
09:38:57  INFO     ✔️  2025-01-08 — Tobey Maguire : ❌ Pas lui. (4/7 exacts, 2/7 partiels)
09:39:02  INFO     ▶️  2025-01-09 — Tobey Maguire…
09:39:05  INFO     ✔️  2025-01-09 — Tom Holland : ❌ Pas lui. (3/7 exacts, 1/7 partiels)
09:39:06  INFO     ✔️  2025-01-09 — Andrew Garfield : ❌ Pas lui. (4/7 exacts, 1/7 partiels)
09:39:11  INFO     ▶️  2025-01-10 — Tom Holland…
09:39:14  INFO     ▶️  2025-01-10 — Andrew Garfield…
09:39:19  INFO     ✔️  2025-01-09 — Tobey Maguire : ❌ Pas lui. (4/7 exacts, 1/7 partiels)
09:39:27  INFO     ▶️  2025-01-10 — Tobey Maguire…
09:39:28  INFO     ✔️  2025-01-10 — Tom Holland : ❌ Pas lui. (2/7 exacts, 2/7 partiels)
09:39:31  INFO     ✔️  2025-01-10 — Andrew Garfield : ❌ Pas lui. (2/7 exacts, 2/7 partiels)
09:39:36  INFO     ▶️  2025-01-11 — Tom Holland…
09:39:36  INFO     ▶️  2025-01-11 — Andrew Garfield…
09:39:44  INFO     ✔️  2025-01-10 — Tobey Maguire : ❌ Pas lui. (2/7 exacts, 2/7 partiels)
09:39:51  INFO     ▶️  2025-01-11 — Tobey Maguire…
09:39:52  INFO     ✔️  2025-01-11 — Tom Holland : ❌ Pas lui. (4/7 exacts, 1/7 partiels)
09:39:53  INFO     ✔️  2025-01-11 — Andrew Garfield : ❌ Pas lui. (4/7 exacts, 1/7 partiels)
09:39:58  INFO     ▶️  2025-01-12 — Tom Holland…
09:40:02  INFO     ▶️  2025-01-12 — Andrew Garfield…
09:40:08  INFO     ✔️  2025-01-11 — Tobey Maguire : ❌ Pas lui. (4/7 exacts, 1/7 partiels)
09:40:14  INFO     ✔️  2025-01-12 — Tom Holland : ❌ Pas lui. (2/7 exacts, 1/7 partiels)
09:40:15  INFO     ▶️  2025-01-12 — Tobey Maguire…
09:40:19  INFO     ✔️  2025-01-12 — Andrew Garfield : ❌ Pas lui. (3/7 exacts, 1/7 partiels)
09:40:22  INFO     ▶️  2025-01-13 — Tom Holland…
09:40:29  INFO     ▶️  2025-01-13 — Andrew Garfield…
09:40:32  INFO     ✔️  2025-01-12 — Tobey Maguire : ❌ Pas lui. (3/7 exacts, 1/7 partiels)
09:40:37  INFO     ▶️  2025-01-13 — Tobey Maguire…
09:40:39  INFO     ✔️  2025-01-13 — Tom Holland : ❌ Pas lui. (3/7 exacts, 1/7 partiels)
09:40:43  INFO     ▶️  2025-01-14 — Tom Holland…
09:40:46  INFO     ✔️  2025-01-13 — Andrew Garfield : ❌ Pas lui. (3/7 exacts, 1/7 partiels)
09:40:51  INFO     ▶️  2025-01-14 — Andrew Garfield…
09:40:54  INFO     ✔️  2025-01-13 — Tobey Maguire : ❌ Pas lui. (3/7 exacts, 1/7 partiels)
09:40:59  INFO     ✔️  2025-01-14 — Tom Holland : ❌ Pas lui. (2/7 exacts, 0/7 partiels)
09:41:03  INFO     ▶️  2025-01-14 — Tobey Maguire…
09:41:06  INFO     ▶️  2025-01-15 — Tom Holland…
09:41:08  INFO     ✔️  2025-01-14 — Andrew Garfield : ❌ Pas lui. (2/7 exacts, 0/7 partiels)
09:41:16  INFO     ▶️  2025-01-15 — Andrew Garfield…
